SAMPLE_NAME;ROCK1;SIO2_pct;TIO2_pct;AL2O3_pct;FEOT_pct;CAO_pct;MGO_pct;MNO_pct;K2O_pct;NA2O_pct;P2O5_pct
S01167;KOMATIITE;43.35;0.48;9.47;10.54;7.59;21.13;0.17;0.01;0.16;0.04
S01168;KOMATIITE;41.51;0.5;10.05;10.99;7.98;21.37;0.18;;0.02;0.04
S01169;BASALT;47.45;0.92;15.06;12.48;8.73;8.21;0.23;0.03;3.29;0.06
S01170;BASALT;48.35;0.88;14.62;11.5;10.51;7.31;0.21;0.07;2.64;0.06
S01171;BASALT;46.24;0.88;14.79;11.65;12.67;7.36;0.2;;1.37;0.06
S01172;BASALT;47.18;0.9;15.09;11.37;11.68;6.92;0.2;0.03;2.47;0.05
S01173;BASALT;47.27;0.66;14.87;10.55;8.94;9.41;0.2;0.4;1.96;0.04
S01174;BASALT;49.88;0.62;13.73;10.96;8.57;9.28;0.19;;3.54;0.04
S01175;RHYOLITE;74.51;0.18;11.41;4.59;0.25;1.73;0.09;0.04;4.94;0.03
S01176;THOLEIITE;52.55;0.31;15.94;;3.79;12.8;0.2;;4.6;0.04
S01177;THOLEIITE;54.07;0.4;21.76;;9.27;3.92;0.22;0.89;3.24;0.03
S01178;RHYOLITE;66.12;0.95;13.88;;2.61;2.68;0.15;1.03;4.69;0.26
S01179;ANDESITE;53.61;1.25;16.1;;8.6;5.03;0.17;0.66;2.78;0.16
S01180;RHYOLITE;75.5;0.25;11.69;;1.56;0.37;0.12;3.12;3.51;0.04
S01181;KOMATIITE;44;0.26;6.79;10.5;7;26;0.19;0.13;0.38;
S01182;KOMATIITE;43.6;0.28;6.9;10.7;7.2;24.8;0.19;0.09;0.66;
S01183;KOMATIITE;45.6;0.46;8.4;;8.1;20.6;0.19;0.03;0.46;
S01184;KOMATIITE;48.3;0.62;10.8;;10;13.9;0.18;0;2.24;
S01185;KOMATIITE;47.2;0.43;11.9;;9.9;12.6;0.2;0.01;1.9;
S01186;KOMATIITE;50.4;0.57;12;;11.1;10.2;0.17;0.28;0.56;
S01187;THOLEIITE;50.4;1.14;9.5;12.8;10.2;9.1;0.02;0.03;3.8;
S01188;THOLEIITE;48.6;1.51;12;;9.4;4.67;0.21;0.05;4.6;
S01189;KOMATIITE;39.3;0.17;5.91;;2.58;33.9;0.1;0.12;0.2;0.03
S01190;KOMATIITE;41;0.21;5.54;;4.21;32;0.13;0.07;0.28;0.01
S01191;KOMATIITE;40.8;0.25;10;;6.86;23.3;0.16;0.07;0.23;0.02
S01192;KOMATIITE;44.1;0.14;3.3;8.64;0.16;42.3;0.1;;;
S01193;KOMATIITE;44.3;0.14;3.5;7.65;0.14;42.9;0.12;;;0.01
S01194;KOMATIITE;44.1;0.15;3.4;8.46;0.29;42.2;0.13;0.01;;0.01
S01195;KOMATIITE;43.9;0.46;11.1;9.63;12.1;21.2;0.24;;;0.03
S01196;KOMATIITE;44.1;0.43;9.5;11.61;9.78;22.7;0.2;;;0.02
S01197;KOMATIITE;45.1;0.38;8.4;10.53;8.63;25.2;0.17;;;0.03
S01198;BASALT;50.3;0.55;11.7;10.44;11.2;12.6;0.22;0.75;0.97;0.04
S01199;BASALT;50.5;0.64;14.6;11.07;10.2;8.4;0.18;1.06;2.06;0.05
S01200;BASALT;47.8;0.56;12.7;11.61;11.6;12.5;0.22;1.1;0.36;0.04
S01201;BASALT;47.9;0.56;12;11.34;13.7;12.2;0.21;0.74;0.01;0.04
S01202;BASALT;44;0.26;6.4;11.25;5.12;30.9;0.18;0;0.02;0.02
S01203;BASALT;44.2;0.28;6.4;11.61;5.13;30.5;0.18;0;0.02;0.02
S01204;BASALT;49.2;0.44;10.2;10.8;11.6;14.7;0.22;0.74;0.73;0.03
S01205;BASALT;48.7;0.56;13.7;10.71;13.5;9.2;0.21;1.93;0.15;0.04
S01206;BASALT;49.2;0.56;13.3;9.99;11.3;12;0.2;1.89;0.38;0.03
S01207;BASALT;49.29;0.61;14.92;10.97;10.61;10.51;0.19;1.58;0.05;0.04
S01208;BASALT;49.27;0.62;14.84;10.76;10.51;10.31;0.2;1.97;0.29;0.04
S01209;BASALT;49.58;0.57;17.11;9.16;11.27;8.38;0.13;0.04;0.2;0.04
S01210;BASALT;49.66;0.64;15.18;11.08;11.49;8.65;0.19;1.71;0.11;0.05
S01211;BASALT;51.01;1.09;14.16;11.36;8.83;8.58;0.23;2.5;0.91;0.07
S01212;BASALT;49.35;0.83;15.98;11.63;9.61;8.58;0.18;2;0.48;0.07
S01213;BASALT;48.94;0.69;15.46;11.52;11.16;8.36;0.19;2.16;0.18;0.05
S01214;BASALT;48.89;0.67;15.17;11.26;12.61;8.12;0.19;1.64;0.15;0.04
S01215;BASALT;49.03;1.22;14.25;12.28;8;8.75;0.16;3.62;1.22;0.09
S01216;BASALT;48.15;0.89;15.33;13.25;8.32;9.22;0.16;2.95;0.18;0.07
S01217;BASALT;48.09;0.9;15;13.23;9.58;9.19;0.17;2.12;0.17;0.07
S01218;BASALT;49.65;0.8;15;12.13;11.15;8;0.2;1.57;0.09;0.06
S01219;BASALT;49.94;0.82;14.84;12.53;9.71;8.04;0.19;2.34;0.1;0.08
S01220;BASALT;47.72;0.89;15.84;12.78;10.63;8.18;0.19;2.15;0.14;0.06
S01221;BASALT;46.26;1.08;18.65;15.64;4.52;9.71;0.19;1.67;0.44;0.1
S01222;BASALT;47.35;0.62;15.5;10.65;17.28;6.33;0.23;0.71;0.09;0.04
S01223;BASALT;53.16;0.8;16.09;9.44;11;5.57;0.22;2.36;0.24;0.06
S01224;BASALT;49.3;0.85;15.36;12.33;10.9;7.28;0.22;2.28;0.05;0.07
S01225;BASALT;48.83;0.83;14.62;12.52;11.57;7.18;0.22;2.42;0.36;0.06
